class,donor_model,run1,run2,run4,run7,run8,run9
Collector,5403138.471570775,4475020.638427302,4539923.147244565,3854409.325264209,3943421.293639951,3867613.282226361,4043313.823380096
Freeway,42567195.87342119,34483261.50696772,34524182.11046885,33211928.232805025,33510786.820521265,33339615.17062389,33826332.62689816
Freeway Connector Ramp,1771027.2783332644,1616040.2248530458,1629593.7304032212,1520002.8983856689,1544563.5333408804,1523517.1368180595,1570622.9525489924
Local Collector,3893764.2912162906,2959198.1064350745,3018091.14096656,2461849.130026477,2539590.4419817706,2465162.069988688,2615651.628575052
Local Ramp,2585940.9727941514,2376922.3115298017,2403811.0679148086,2237046.408244636,2279301.9128472754,2238757.029501276,2323209.848777807
Local Road,2467076.1549385404,1948167.1447194936,1978054.4159293128,1746076.7804355295,1785048.375264161,1748591.236656724,1826244.785033728
Major Arterial,13489802.05267342,11525301.617369795,11670070.98906558,10317139.478224646,10552656.753499689,10341883.532697344,10786424.510641064
Prime Arterial,6660223.622338224,5916124.7069664085,5969810.583443153,5471060.331346488,5559121.350560149,5473865.537318534,5656764.129973495
Rural Coolector,820830.6652606882,717975.3009467311,711906.8166722321,692140.3814443878,688391.2487773058,709985.1763639039,691952.0772388632
