class,vmt_total,vmt_auto,vmt_truck
Collector,5403138.471570775,5176288.080611451,208774.44884619254
Freeway,42567195.87342119,40240824.84207131,2317210.1198354764
Freeway Connector Ramp,1771027.2783332644,1682143.98273511,88679.95409625024
Local Collector,3893764.2912162906,3762581.7319443803,121831.44413887874
Local Ramp,2585940.9727941514,2479040.1525755343,104912.98031103828
Local Road,2467076.1549385404,2382565.8803228815,81093.10010451262
Major Arterial,13489802.05267342,12995707.82533975,442177.68483921146
Prime Arterial,6660223.622338224,6371364.5296539655,275660.55976403545
Rural Coolector,820830.6652606882,799020.8562157014,21758.54787858099
Zone Connector,3955704.4372282755,3824814.1022750004,130890.33495327477
